Source,Target,Type ,Weight
1009,b,Undirected,3567
1010,b,Undirected,2444
1011,b,Undirected,935
1012,b,Undirected,912
1013,b,Undirected,1958
1014,b,Undirected,2591
1015,b,Undirected,1538
1016,b,Undirected,3399
1017,b,Undirected,1245
1018,b,Undirected,1516
1019,b,Undirected,3608
1020,b,Undirected,3694
1021,b,Undirected,1014
1022,b,Undirected,496
1023,b,Undirected,855
1024,b,Undirected,503
1025,b,Undirected,647
1026,b,Undirected,454
1027,b,Undirected,735
1028,b,Undirected,1451
1029,b,Undirected,2253
1030,b,Undirected,2020
1031,b,Undirected,1664
1032,b,Undirected,2848
1033,b,Undirected,1780
1034,b,Undirected,5091
1035,b,Undirected,1410
1036,b,Undirected,5178
1037,b,Undirected,3571
1038,b,Undirected,2140
1039,b,Undirected,8205
1040,b,Undirected,8002
1041,b,Undirected,1339
1042,b,Undirected,14730
1043,b,Undirected,1458
1044,b,Undirected,1113
1045,b,Undirected,1067
1046,b,Undirected,566
1047,b,Undirected,877
1048,b,Undirected,951
1049,b,Undirected,457
1050,b,Undirected,813
1051,b,Undirected,1782
1052,b,Undirected,909
1053,b,Undirected,2123
1054,b,Undirected,1834
1055,b,Undirected,1297
1056,b,Undirected,1735
1057,b,Undirected,1807
1058,b,Undirected,1712
1059,b,Undirected,1732
1060,b,Undirected,1589
1061,b,Undirected,1354
1062,b,Undirected,1337
1063,b,Undirected,1368
1064,b,Undirected,2950
1065,b,Undirected,4312
1066,b,Undirected,2082
1067,b,Undirected,5785
1068,b,Undirected,1048
1069,b,Undirected,2459
1070,b,Undirected,1174
1071,b,Undirected,1339
1072,b,Undirected,1397
1073,b,Undirected,1601
1074,b,Undirected,2238
1075,b,Undirected,2351
1076,b,Undirected,2407
1077,b,Undirected,2260
1078,b,Undirected,2106
1079,b,Undirected,2317
1080,b,Undirected,429
1081,b,Undirected,883
1082,b,Undirected,637
1083,b,Undirected,625
1084,b,Undirected,379
1085,b,Undirected,1026
1086,b,Undirected,571
1087,b,Undirected,927
1088,b,Undirected,3316
1089,b,Undirected,3262
1090,b,Undirected,1672
1091,b,Undirected,1305
1092,b,Undirected,1328
1093,b,Undirected,2381
1094,b,Undirected,820
1095,b,Undirected,913
1096,b,Undirected,1097
1097,b,Undirected,1722
1098,b,Undirected,3395
1099,b,Undirected,3437
1100,b,Undirected,546
1101,b,Undirected,1265
1102,b,Undirected,575
1103,b,Undirected,858
1104,b,Undirected,1330
1105,b,Undirected,3332
1106,b,Undirected,2343
1107,b,Undirected,2808
1108,b,Undirected,1848
1109,b,Undirected,1999
1110,b,Undirected,1607
1111,b,Undirected,1521
1112,b,Undirected,494
1113,b,Undirected,494
1114,b,Undirected,821
1115,b,Undirected,790
1116,b,Undirected,444
1117,b,Undirected,468
1118,b,Undirected,727
1119,b,Undirected,6130
1120,b,Undirected,3681
1121,b,Undirected,4661
1122,b,Undirected,2652
1123,b,Undirected,1624
1124,b,Undirected,588
1125,b,Undirected,577
1126,b,Undirected,950
1127,b,Undirected,394
1128,b,Undirected,840
1129,b,Undirected,442
1130,b,Undirected,454
1131,b,Undirected,715
1132,b,Undirected,383
1133,b,Undirected,751
1134,b,Undirected,6538
1135,b,Undirected,3750
1136,b,Undirected,1785
1137,b,Undirected,1800
1138,b,Undirected,875
1139,b,Undirected,825
1140,b,Undirected,1035
1141,b,Undirected,762
1142,b,Undirected,484
1143,b,Undirected,851
1144,b,Undirected,1093
1145,b,Undirected,5838
1146,b,Undirected,6305
1147,b,Undirected,662
1148,b,Undirected,556
1149,b,Undirected,857
1150,b,Undirected,521
1151,b,Undirected,786
1152,b,Undirected,380
1153,b,Undirected,719
1154,b,Undirected,877
1155,b,Undirected,822
1156,b,Undirected,792
1157,b,Undirected,751
1158,b,Undirected,780
1159,b,Undirected,743
1160,b,Undirected,686
1161,b,Undirected,709
