Source,Target,Type,Weight
702,b,Undirected,5550
703,b,Undirected,13381
704,b,Undirected,7628
705,b,Undirected,7847
706,b,Undirected,7631
707,b,Undirected,4879
708,b,Undirected,17081
709,b,Undirected,5390
710,b,Undirected,12660
711,b,Undirected,13038
712,b,Undirected,4998
713,b,Undirected,10559
714,b,Undirected,7767
715,b,Undirected,5214
716,b,Undirected,22644
717,b,Undirected,19590
718,b,Undirected,3841
719,b,Undirected,3351
720,b,Undirected,3390
721,b,Undirected,3428
722,b,Undirected,17421
723,b,Undirected,5442
724,b,Undirected,4467
725,b,Undirected,5516
726,b,Undirected,6725
727,b,Undirected,4802
728,b,Undirected,32043
729,b,Undirected,12219
730,b,Undirected,6007
731,b,Undirected,5842
732,b,Undirected,11838
733,b,Undirected,9878
734,b,Undirected,6203
735,b,Undirected,6240
736,b,Undirected,6500
737,b,Undirected,4645
738,b,Undirected,4450
739,b,Undirected,3443
740,b,Undirected,4422
741,b,Undirected,12188
742,b,Undirected,4623
743,b,Undirected,6555
744,b,Undirected,7549
745,b,Undirected,4503
746,b,Undirected,14983
747,b,Undirected,6780
748,b,Undirected,7871
749,b,Undirected,5929
750,b,Undirected,10933
751,b,Undirected,6693
752,b,Undirected,10156
753,b,Undirected,4183
754,b,Undirected,31235
755,b,Undirected,8216
756,b,Undirected,6561
757,b,Undirected,6672
758,b,Undirected,4399
759,b,Undirected,3622
760,b,Undirected,7373
761,b,Undirected,23356
762,b,Undirected,9877
763,b,Undirected,14444
764,b,Undirected,9205
765,b,Undirected,9167
766,b,Undirected,9038
767,b,Undirected,4228
768,b,Undirected,4894
769,b,Undirected,4821
770,b,Undirected,5899
771,b,Undirected,5772
772,b,Undirected,32440
773,b,Undirected,10176
774,b,Undirected,33604
775,b,Undirected,17422
776,b,Undirected,6722
777,b,Undirected,6256
778,b,Undirected,6604
779,b,Undirected,11962
780,b,Undirected,20202
781,b,Undirected,22368
782,b,Undirected,7926
783,b,Undirected,7132
784,b,Undirected,4062
785,b,Undirected,4608
786,b,Undirected,4968
787,b,Undirected,27067
788,b,Undirected,37688
789,b,Undirected,7521
790,b,Undirected,7176
791,b,Undirected,10664
792,b,Undirected,6840
793,b,Undirected,6592
794,b,Undirected,6092
795,b,Undirected,11237
796,b,Undirected,4509
797,b,Undirected,4255
798,b,Undirected,10829
799,b,Undirected,33659
800,b,Undirected,7222
801,b,Undirected,15626
802,b,Undirected,9559
803,b,Undirected,10424
804,b,Undirected,10504
805,b,Undirected,13853
806,b,Undirected,17423
807,b,Undirected,36350
808,b,Undirected,14555
809,b,Undirected,12171
810,b,Undirected,5734
811,b,Undirected,17187
812,b,Undirected,5277
813,b,Undirected,5590
814,b,Undirected,6425
815,b,Undirected,5055
816,b,Undirected,7863
817,b,Undirected,4982
818,b,Undirected,10306
819,b,Undirected,8471
820,b,Undirected,6393
821,b,Undirected,5538
822,b,Undirected,10498
823,b,Undirected,9009
824,b,Undirected,6002
825,b,Undirected,5610
826,b,Undirected,11474
827,b,Undirected,16468
828,b,Undirected,17997
829,b,Undirected,9318
830,b,Undirected,8508
831,b,Undirected,7016
832,b,Undirected,6162
833,b,Undirected,6497
834,b,Undirected,4877
835,b,Undirected,4509
836,b,Undirected,4720
837,b,Undirected,12587
838,b,Undirected,12191
839,b,Undirected,6490
840,b,Undirected,19953
841,b,Undirected,5623
842,b,Undirected,4633
843,b,Undirected,5059
844,b,Undirected,6630
845,b,Undirected,4436
846,b,Undirected,6641
847,b,Undirected,4567
848,b,Undirected,4324
849,b,Undirected,9055
850,b,Undirected,11863
851,b,Undirected,7945
852,b,Undirected,11975
853,b,Undirected,7191
854,b,Undirected,8758
855,b,Undirected,12047
856,b,Undirected,6465
857,b,Undirected,13104
858,b,Undirected,11095
859,b,Undirected,6499
860,b,Undirected,18386
861,b,Undirected,12395
862,b,Undirected,4643
863,b,Undirected,4279
864,b,Undirected,3933
865,b,Undirected,3628
866,b,Undirected,4361
867,b,Undirected,5274
868,b,Undirected,7070
869,b,Undirected,5515
870,b,Undirected,5667
871,b,Undirected,13130
872,b,Undirected,28143
873,b,Undirected,5992
874,b,Undirected,5493
875,b,Undirected,5152
876,b,Undirected,4179
877,b,Undirected,8393
878,b,Undirected,8059
879,b,Undirected,4872
880,b,Undirected,12219
881,b,Undirected,38240
882,b,Undirected,13382
883,b,Undirected,13126
884,b,Undirected,9114
885,b,Undirected,7051
886,b,Undirected,12739
887,b,Undirected,34787
888,b,Undirected,17785
889,b,Undirected,14426
890,b,Undirected,6806
891,b,Undirected,7121
892,b,Undirected,7279
893,b,Undirected,6513
894,b,Undirected,10156
895,b,Undirected,10027
896,b,Undirected,4263
897,b,Undirected,15639
898,b,Undirected,10510
899,b,Undirected,21698
900,b,Undirected,14780
901,b,Undirected,20606
902,b,Undirected,20897
903,b,Undirected,7496
904,b,Undirected,3700
905,b,Undirected,4298
906,b,Undirected,7507
907,b,Undirected,6609
908,b,Undirected,12648
909,b,Undirected,34004
910,b,Undirected,12063
911,b,Undirected,19947
912,b,Undirected,14927
913,b,Undirected,8430
914,b,Undirected,7769
915,b,Undirected,12161
916,b,Undirected,14514
917,b,Undirected,21030
918,b,Undirected,15400
919,b,Undirected,9913
920,b,Undirected,11086
921,b,Undirected,7391
922,b,Undirected,4704
923,b,Undirected,6144
