Source,Target,Type,Weight
1025,b,Undirected,48
1026,b,Undirected,19
1027,b,Undirected,66
1028,b,Undirected,305
1029,b,Undirected,423
1030,b,Undirected,326
1031,b,Undirected,163
1032,b,Undirected,265
1033,b,Undirected,151
1034,b,Undirected,960
1035,b,Undirected,241
1036,b,Undirected,1314
1037,b,Undirected,462
1038,b,Undirected,391
1039,b,Undirected,1691
1040,b,Undirected,1651
1041,b,Undirected,164
1042,b,Undirected,2850
1043,b,Undirected,189
1044,b,Undirected,99
1045,b,Undirected,99
1046,b,Undirected,41
1047,b,Undirected,60
1048,b,Undirected,96
1049,b,Undirected,48
1050,b,Undirected,86
1051,b,Undirected,300
1052,b,Undirected,158
1053,b,Undirected,383
1054,b,Undirected,307
1055,b,Undirected,159
1056,b,Undirected,216
1057,b,Undirected,226
1058,b,Undirected,211
1059,b,Undirected,302
1060,b,Undirected,232
1061,b,Undirected,190
1062,b,Undirected,179
1063,b,Undirected,173
1064,b,Undirected,560
1065,b,Undirected,675
1066,b,Undirected,208
1067,b,Undirected,1009
1068,b,Undirected,194
1069,b,Undirected,336
1070,b,Undirected,112
1071,b,Undirected,117
1072,b,Undirected,101
1073,b,Undirected,207
1074,b,Undirected,328
1075,b,Undirected,603
1076,b,Undirected,370
1077,b,Undirected,288
1078,b,Undirected,651
1079,b,Undirected,339
1080,b,Undirected,75
1081,b,Undirected,102
1082,b,Undirected,50
1083,b,Undirected,41
1084,b,Undirected,24
1085,b,Undirected,82
1086,b,Undirected,35
1087,b,Undirected,87
1088,b,Undirected,782
1089,b,Undirected,655
1090,b,Undirected,173
1091,b,Undirected,99
1092,b,Undirected,107
1093,b,Undirected,479
1094,b,Undirected,137
1095,b,Undirected,99
1096,b,Undirected,122
1097,b,Undirected,260
1098,b,Undirected,874
1099,b,Undirected,638
1100,b,Undirected,148
1101,b,Undirected,230
1102,b,Undirected,80
1103,b,Undirected,108
1104,b,Undirected,189
1105,b,Undirected,1311
1106,b,Undirected,518
1107,b,Undirected,391
1108,b,Undirected,170
1109,b,Undirected,207
1110,b,Undirected,160
1111,b,Undirected,160
1112,b,Undirected,26
1113,b,Undirected,26
1114,b,Undirected,55
1115,b,Undirected,64
1116,b,Undirected,20
1117,b,Undirected,18
1118,b,Undirected,56
1119,b,Undirected,1253
1120,b,Undirected,709
1121,b,Undirected,991
1122,b,Undirected,427
1123,b,Undirected,180
1124,b,Undirected,70
1125,b,Undirected,61
1126,b,Undirected,105
1127,b,Undirected,44
1128,b,Undirected,86
1129,b,Undirected,29
1130,b,Undirected,20
1131,b,Undirected,42
1132,b,Undirected,27
1133,b,Undirected,57
1134,b,Undirected,3505
1135,b,Undirected,1344
1136,b,Undirected,358
1137,b,Undirected,302
1138,b,Undirected,115
1139,b,Undirected,129
1140,b,Undirected,136
1141,b,Undirected,60
1142,b,Undirected,34
1143,b,Undirected,59
1144,b,Undirected,105
1145,b,Undirected,1703
1146,b,Undirected,1153
1147,b,Undirected,81
1148,b,Undirected,40
1149,b,Undirected,64
1150,b,Undirected,31
1151,b,Undirected,44
1152,b,Undirected,31
1153,b,Undirected,50
1154,b,Undirected,78
1155,b,Undirected,74
1156,b,Undirected,75
1157,b,Undirected,48
1158,b,Undirected,58
1159,b,Undirected,62
1160,b,Undirected,44
1161,b,Undirected,62
1162,b,Undirected,66
1163,b,Undirected,43
1164,b,Undirected,43
1165,b,Undirected,69
1166,b,Undirected,61
1167,b,Undirected,52
1168,b,Undirected,90
1169,b,Undirected,71
1170,b,Undirected,42
1171,b,Undirected,44
1172,b,Undirected,45
1173,b,Undirected,41
1174,b,Undirected,61
1175,b,Undirected,55
1176,b,Undirected,45
1177,b,Undirected,52
1178,b,Undirected,43
1179,b,Undirected,45
1180,b,Undirected,40
1181,b,Undirected,50
1182,b,Undirected,44
1183,b,Undirected,55
1184,b,Undirected,141
1185,b,Undirected,210
1186,b,Undirected,1077
1187,b,Undirected,140
1188,b,Undirected,132
1189,b,Undirected,145
1190,b,Undirected,305
1191,b,Undirected,145
1192,b,Undirected,110
1193,b,Undirected,60
1194,b,Undirected,169
1195,b,Undirected,872
1196,b,Undirected,550
1197,b,Undirected,430
1198,b,Undirected,1004
1199,b,Undirected,151
1200,b,Undirected,241
1201,b,Undirected,318
1202,b,Undirected,75
1203,b,Undirected,34
1204,b,Undirected,91
1205,b,Undirected,472
1206,b,Undirected,80
1207,b,Undirected,22
1208,b,Undirected,157
1209,b,Undirected,21
1210,b,Undirected,24
1211,b,Undirected,52
1212,b,Undirected,24
1213,b,Undirected,39
1214,b,Undirected,26
1215,b,Undirected,70
1216,b,Undirected,735
1217,b,Undirected,415
1218,b,Undirected,2245
1219,b,Undirected,377
1220,b,Undirected,195
1221,b,Undirected,208
1222,b,Undirected,37
1223,b,Undirected,65
1224,b,Undirected,31
1225,b,Undirected,23
1226,b,Undirected,23
1227,b,Undirected,75
1228,b,Undirected,22
